litter_id,litter_id_link,whelp_date,litter_registration,country_of_birth,sire_name,dam_name,breeders,birth_year
30591,Litter_Detail?LitterID=30591,"Dec 30, 2010",,Sweden,BERNTIERS OPUS ONE,DOREMIS ULAY A LADY,KARLSSON,2010
22381,Litter_Detail?LitterID=22381,"Dec 30, 2010",,USA,FREYRSMARK'S BRAND CROSBJOLD,FREYERSMARK'S ASGARD AVERY,BOX,2010
22388,Litter_Detail?LitterID=22388,"Dec 30, 2010",WS365257,USA,YMKER'S SAMMY BOY,YMKER'S MUFFY GIRL,YMKER,2010
22250,Litter_Detail?LitterID=22250,"Dec 30, 2010",WS363819,USA,JENDA'S GENTLEMAN JACK,CRYSTAL CREEK'S CAMEO APPEARANCE,LETRY (TX) & LETRY (TX),2010
23565,Litter_Detail?LitterID=23565,"Dec 30, 2010",,Canada,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,PRETTY,2010
23165,Litter_Detail?LitterID=23165,"Dec 29, 2010",,Canada,AVATARS TRY TRY AGAIN,LAURELGATE ELSA SUNSHINE,KASK-RUONA (ON),2010
22200,Litter_Detail?LitterID=22200,"Dec 29, 2010",WS360469,USA,BULL VALLEY DEERPARK BENJAMIN,DEERPARK KAZZI,DEAN (AZ),2010
27473,Litter_Detail?LitterID=27473,"Dec 29, 2010",,Switzerland,ODYSSEUS,LADY LOU VD WILDENHAYN,MARET,2010
26679,Litter_Detail?LitterID=26679,"Dec 28, 2010",,France,BOND DES ROCHES DU METTEY,AUBADE DES ROCHES DU METTEY,MANSUY,2010
29620,Litter_Detail?LitterID=29620,"Dec 28, 2010",,France,GABIN DE L'HAMIAU DU MONT,HENYA DU VERSANT DU MIDI,DURETZ (),2010
27849,Litter_Detail?LitterID=27849,"Dec 28, 2010",,Germany,DON V BÄRLIGARTEN,YESSI V ANNABURGER SCHÜTZENPLATZ,JUNGMICHEL,2010
22396,Litter_Detail?LitterID=22396,"Dec 28, 2010",,Hungary,XANDER'S HILL HAYDN,BERNARIO VERENA,BAFFIA,2010
